feedback_id,customer_name,feedback,date,product,clean_feedback
1,Karthik,Acceptable performance,2025-01-13,Laptop,acceptable performance
2,Priya,Great service and fast delivery,2025-12-27,Headphones,great service fast delivery
3,Anitha,Support team was very helpful,2025-12-15,Smart Watch,support team very helpful
4,Anitha,Average experience,2025-10-04,E-commerce,average experience
5,Manoj,Great service and fast delivery,2025-12-17,Headphones,great service fast delivery
6,Priya,Customer support did not respond,2025-06-25,Laptop,customer support did not respond
7,Divya,Decent product,2025-03-24,Headphones,decent product
8,Priya,Support team was very helpful,2025-05-14,Mobile App,support team very helpful
9,Rahul,Support team was very helpful,2025-06-13,E-commerce,support team very helpful
10,Rahul,Excellent quality and very satisfied,2025-06-27,Banking App,excellent quality very satisfied
11,Arun,Very happy with the product,2025-08-04,Laptop,very happy product
12,Manoj,Worst product ever,2025-03-22,Smart Watch,worst product ever
13,Manoj,Poor quality and waste of money,2025-07-15,Mobile App,poor quality waste money
14,Suresh,Very happy with the product,2025-12-05,Banking App,very happy product
15,Sneha,Excellent quality and very satisfied,2025-02-01,Smart Watch,excellent quality very satisfied
16,Anitha,Average experience,2025-04-03,Laptop,average experience
17,Priya,Decent product,2025-05-12,Internet Service,decent product
18,Karthik,Great service and fast delivery,2025-05-16,Smart Watch,great service fast delivery
19,Arun,Decent product,2025-06-11,E-commerce,decent product
20,Sneha,Poor quality and waste of money,2025-04-21,Laptop,poor quality waste money
21,Arun,"Amazing experience, highly recommend",2025-01-19,Mobile,amazing experience highly recommend
22,Karthik,Worst product ever,2025-07-31,Mobile App,worst product ever
23,Rahul,"Amazing experience, highly recommend",2025-05-15,E-commerce,amazing experience highly recommend
24,Sneha,Excellent quality and very satisfied,2025-01-17,Mobile,excellent quality very satisfied
25,Karthik,Decent product,2025-10-10,Headphones,decent product
26,Rahul,Poor quality and waste of money,2025-08-17,Internet Service,poor quality waste money
27,Anitha,Customer support did not respond,2025-12-26,Laptop,customer support did not respond
28,Suresh,Great service and fast delivery,2025-05-18,Mobile,great service fast delivery
29,Karthik,Great service and fast delivery,2025-11-14,Mobile App,great service fast delivery
30,Priya,Support team was very helpful,2025-10-17,Internet Service,support team very helpful
31,Manoj,Decent product,2025-03-20,Internet Service,decent product
32,Suresh,Support team was very helpful,2025-03-26,Internet Service,support team very helpful
33,Pooja,Excellent quality and very satisfied,2025-05-03,Headphones,excellent quality very satisfied
34,Suresh,Worst product ever,2025-09-16,Mobile,worst product ever
35,Arun,Okay for the price,2025-06-16,E-commerce,okay price
36,Suresh,Okay for the price,2025-01-19,Smart Watch,okay price
37,Karthik,Worst product ever,2025-09-02,Banking App,worst product ever
38,Pooja,Support team was very helpful,2025-01-26,Headphones,support team very helpful
39,Priya,Very bad experience and disappointed,2025-11-28,Laptop,very bad experience disappointed
40,Pooja,Very bad experience and disappointed,2025-07-23,Mobile App,very bad experience disappointed
41,Rahul,Worst product ever,2025-01-27,Banking App,worst product ever
42,Suresh,Worst product ever,2025-03-25,Mobile,worst product ever
43,Anitha,"Amazing experience, highly recommend",2025-05-18,Internet Service,amazing experience highly recommend
44,Rahul,Great service and fast delivery,2025-10-09,Internet Service,great service fast delivery
45,Anitha,Very happy with the product,2025-02-17,Internet Service,very happy product
46,Priya,Decent product,2025-09-14,Laptop,decent product
47,Priya,Average experience,2025-03-27,Banking App,average experience
48,Pooja,Very happy with the product,2025-09-05,Headphones,very happy product
49,Suresh,Average experience,2025-04-25,Headphones,average experience
50,Karthik,Worst product ever,2025-07-02,Mobile App,worst product ever
51,Pooja,Okay for the price,2025-07-30,Mobile App,okay price
52,Anitha,Acceptable performance,2025-10-18,Laptop,acceptable performance
53,Pooja,Acceptable performance,2025-06-12,E-commerce,acceptable performance
54,Divya,Okay for the price,2025-04-04,Mobile,okay price
55,Divya,Delivery was too late,2025-07-01,E-commerce,delivery too late
56,Sneha,Customer support did not respond,2025-06-29,Smart Watch,customer support did not respond
57,Sneha,Very bad experience and disappointed,2025-09-10,Laptop,very bad experience disappointed
58,Arun,Worst product ever,2025-08-01,Mobile,worst product ever
59,Arun,Excellent quality and very satisfied,2025-12-22,Banking App,excellent quality very satisfied
60,Anitha,Acceptable performance,2025-11-30,Mobile,acceptable performance
61,Manoj,Delivery was too late,2025-01-06,Banking App,delivery too late
62,Arun,Customer support did not respond,2025-03-27,E-commerce,customer support did not respond
63,Priya,Delivery was too late,2025-01-25,Headphones,delivery too late
64,Sneha,Acceptable performance,2025-02-14,Mobile,acceptable performance
65,Suresh,"Amazing experience, highly recommend",2025-07-22,Laptop,amazing experience highly recommend
66,Pooja,Customer support did not respond,2025-07-19,Mobile App,customer support did not respond
67,Sneha,Poor quality and waste of money,2025-06-30,Mobile App,poor quality waste money
68,Divya,Great service and fast delivery,2025-02-12,Mobile App,great service fast delivery
69,Manoj,Very bad experience and disappointed,2025-11-13,Laptop,very bad experience disappointed
70,Priya,Delivery was too late,2025-03-18,Smart Watch,delivery too late
71,Manoj,Nothing special,2025-10-18,Banking App,nothing special
72,Anitha,Very happy with the product,2025-07-07,Laptop,very happy product
73,Sneha,Average experience,2025-04-08,Laptop,average experience
74,Priya,"Amazing experience, highly recommend",2025-10-14,E-commerce,amazing experience highly recommend
75,Priya,"Amazing experience, highly recommend",2026-01-01,Banking App,amazing experience highly recommend
76,Arun,Acceptable performance,2025-08-12,Smart Watch,acceptable performance
77,Rahul,Average experience,2025-12-30,Internet Service,average experience
78,Arun,Great service and fast delivery,2025-01-07,Laptop,great service fast delivery
79,Manoj,Worst product ever,2025-10-26,Mobile,worst product ever
80,Karthik,Great service and fast delivery,2025-04-23,Headphones,great service fast delivery
81,Anitha,Worst product ever,2025-01-02,E-commerce,worst product ever
82,Divya,"Amazing experience, highly recommend",2025-07-10,Headphones,amazing experience highly recommend
83,Priya,Okay for the price,2025-03-03,Banking App,okay price
84,Suresh,Very happy with the product,2025-08-28,Headphones,very happy product
85,Karthik,Very happy with the product,2025-06-20,Mobile App,very happy product
86,Rahul,Poor quality and waste of money,2025-11-23,Internet Service,poor quality waste money
87,Sneha,Nothing special,2025-02-02,Mobile,nothing special
88,Sneha,Worst product ever,2025-06-10,Laptop,worst product ever
89,Anitha,Nothing special,2025-05-03,Smart Watch,nothing special
90,Manoj,Average experience,2025-06-10,Banking App,average experience
91,Rahul,Average experience,2025-04-13,Headphones,average experience
92,Suresh,Poor quality and waste of money,2025-08-30,Mobile App,poor quality waste money
93,Anitha,Worst product ever,2025-09-30,Banking App,worst product ever
94,Manoj,Delivery was too late,2025-08-07,Headphones,delivery too late
95,Arun,Worst product ever,2025-08-01,E-commerce,worst product ever
96,Arun,Okay for the price,2025-01-19,Internet Service,okay price
97,Anitha,Excellent quality and very satisfied,2025-03-11,Laptop,excellent quality very satisfied
98,Manoj,"Amazing experience, highly recommend",2025-01-16,E-commerce,amazing experience highly recommend
99,Priya,Great service and fast delivery,2025-01-31,Banking App,great service fast delivery
100,Pooja,Very bad experience and disappointed,2025-01-31,Smart Watch,very bad experience disappointed
101,Priya,Support team was very helpful,2025-06-18,Mobile,support team very helpful
102,Rahul,Poor quality and waste of money,2025-02-07,Banking App,poor quality waste money
103,Pooja,Very bad experience and disappointed,2025-12-19,Mobile,very bad experience disappointed
104,Pooja,Customer support did not respond,2025-11-30,Mobile,customer support did not respond
105,Karthik,Nothing special,2025-11-12,Laptop,nothing special
106,Anitha,Average experience,2025-11-01,Smart Watch,average experience
107,Priya,Poor quality and waste of money,2025-08-13,E-commerce,poor quality waste money
108,Divya,Acceptable performance,2025-12-28,Headphones,acceptable performance
109,Manoj,Support team was very helpful,2025-04-09,Mobile App,support team very helpful
110,Rahul,Decent product,2025-12-31,Banking App,decent product
111,Manoj,Acceptable performance,2025-10-25,Mobile App,acceptable performance
112,Pooja,"Amazing experience, highly recommend",2025-05-15,Headphones,amazing experience highly recommend
