feedback_id,customer_name,feedback,date,product,clean_feedback,sentiment,confidence_score
1,Karthik,Acceptable performance,2025-01-13,Laptop,acceptable performance,neutral,0.0
2,Priya,Great service and fast delivery,2025-12-27,Headphones,great service fast delivery,positive,0.5
3,Anitha,Support team was very helpful,2025-12-15,Smart Watch,support team very helpful,positive,0.2
4,Anitha,Average experience,2025-10-04,E-commerce,average experience,negative,-0.15
5,Manoj,Great service and fast delivery,2025-12-17,Headphones,great service fast delivery,positive,0.5
6,Priya,Customer support did not respond,2025-06-25,Laptop,customer support did not respond,neutral,0.0
7,Divya,Decent product,2025-03-24,Headphones,decent product,positive,0.16666666666666666
8,Priya,Support team was very helpful,2025-05-14,Mobile App,support team very helpful,positive,0.2
9,Rahul,Support team was very helpful,2025-06-13,E-commerce,support team very helpful,positive,0.2
10,Rahul,Excellent quality and very satisfied,2025-06-27,Banking App,excellent quality very satisfied,positive,0.825
11,Arun,Very happy with the product,2025-08-04,Laptop,very happy product,positive,1.0
12,Manoj,Worst product ever,2025-03-22,Smart Watch,worst product ever,negative,-1.0
13,Manoj,Poor quality and waste of money,2025-07-15,Mobile App,poor quality waste money,negative,-0.30000000000000004
14,Suresh,Very happy with the product,2025-12-05,Banking App,very happy product,positive,1.0
15,Sneha,Excellent quality and very satisfied,2025-02-01,Smart Watch,excellent quality very satisfied,positive,0.825
16,Anitha,Average experience,2025-04-03,Laptop,average experience,negative,-0.15
17,Priya,Decent product,2025-05-12,Internet Service,decent product,positive,0.16666666666666666
18,Karthik,Great service and fast delivery,2025-05-16,Smart Watch,great service fast delivery,positive,0.5
19,Arun,Decent product,2025-06-11,E-commerce,decent product,positive,0.16666666666666666
20,Sneha,Poor quality and waste of money,2025-04-21,Laptop,poor quality waste money,negative,-0.30000000000000004
21,Arun,"Amazing experience, highly recommend",2025-01-19,Mobile,amazing experience highly recommend,positive,0.38000000000000006
22,Karthik,Worst product ever,2025-07-31,Mobile App,worst product ever,negative,-1.0
23,Rahul,"Amazing experience, highly recommend",2025-05-15,E-commerce,amazing experience highly recommend,positive,0.38000000000000006
24,Sneha,Excellent quality and very satisfied,2025-01-17,Mobile,excellent quality very satisfied,positive,0.825
25,Karthik,Decent product,2025-10-10,Headphones,decent product,positive,0.16666666666666666
26,Rahul,Poor quality and waste of money,2025-08-17,Internet Service,poor quality waste money,negative,-0.30000000000000004
27,Anitha,Customer support did not respond,2025-12-26,Laptop,customer support did not respond,neutral,0.0
28,Suresh,Great service and fast delivery,2025-05-18,Mobile,great service fast delivery,positive,0.5
29,Karthik,Great service and fast delivery,2025-11-14,Mobile App,great service fast delivery,positive,0.5
30,Priya,Support team was very helpful,2025-10-17,Internet Service,support team very helpful,positive,0.2
31,Manoj,Decent product,2025-03-20,Internet Service,decent product,positive,0.16666666666666666
32,Suresh,Support team was very helpful,2025-03-26,Internet Service,support team very helpful,positive,0.2
33,Pooja,Excellent quality and very satisfied,2025-05-03,Headphones,excellent quality very satisfied,positive,0.825
34,Suresh,Worst product ever,2025-09-16,Mobile,worst product ever,negative,-1.0
35,Arun,Okay for the price,2025-06-16,E-commerce,okay price,positive,0.5
36,Suresh,Okay for the price,2025-01-19,Smart Watch,okay price,positive,0.5
37,Karthik,Worst product ever,2025-09-02,Banking App,worst product ever,negative,-1.0
38,Pooja,Support team was very helpful,2025-01-26,Headphones,support team very helpful,positive,0.2
39,Priya,Very bad experience and disappointed,2025-11-28,Laptop,very bad experience disappointed,negative,-0.8299999999999998
40,Pooja,Very bad experience and disappointed,2025-07-23,Mobile App,very bad experience disappointed,negative,-0.8299999999999998
41,Rahul,Worst product ever,2025-01-27,Banking App,worst product ever,negative,-1.0
42,Suresh,Worst product ever,2025-03-25,Mobile,worst product ever,negative,-1.0
43,Anitha,"Amazing experience, highly recommend",2025-05-18,Internet Service,amazing experience highly recommend,positive,0.38000000000000006
44,Rahul,Great service and fast delivery,2025-10-09,Internet Service,great service fast delivery,positive,0.5
45,Anitha,Very happy with the product,2025-02-17,Internet Service,very happy product,positive,1.0
46,Priya,Decent product,2025-09-14,Laptop,decent product,positive,0.16666666666666666
47,Priya,Average experience,2025-03-27,Banking App,average experience,negative,-0.15
48,Pooja,Very happy with the product,2025-09-05,Headphones,very happy product,positive,1.0
49,Suresh,Average experience,2025-04-25,Headphones,average experience,negative,-0.15
50,Karthik,Worst product ever,2025-07-02,Mobile App,worst product ever,negative,-1.0
51,Pooja,Okay for the price,2025-07-30,Mobile App,okay price,positive,0.5
52,Anitha,Acceptable performance,2025-10-18,Laptop,acceptable performance,neutral,0.0
53,Pooja,Acceptable performance,2025-06-12,E-commerce,acceptable performance,neutral,0.0
54,Divya,Okay for the price,2025-04-04,Mobile,okay price,positive,0.5
55,Divya,Delivery was too late,2025-07-01,E-commerce,delivery too late,negative,-0.3
56,Sneha,Customer support did not respond,2025-06-29,Smart Watch,customer support did not respond,neutral,0.0
57,Sneha,Very bad experience and disappointed,2025-09-10,Laptop,very bad experience disappointed,negative,-0.8299999999999998
58,Arun,Worst product ever,2025-08-01,Mobile,worst product ever,negative,-1.0
59,Arun,Excellent quality and very satisfied,2025-12-22,Banking App,excellent quality very satisfied,positive,0.825
60,Anitha,Acceptable performance,2025-11-30,Mobile,acceptable performance,neutral,0.0
61,Manoj,Delivery was too late,2025-01-06,Banking App,delivery too late,negative,-0.3
62,Arun,Customer support did not respond,2025-03-27,E-commerce,customer support did not respond,neutral,0.0
63,Priya,Delivery was too late,2025-01-25,Headphones,delivery too late,negative,-0.3
64,Sneha,Acceptable performance,2025-02-14,Mobile,acceptable performance,neutral,0.0
65,Suresh,"Amazing experience, highly recommend",2025-07-22,Laptop,amazing experience highly recommend,positive,0.38000000000000006
66,Pooja,Customer support did not respond,2025-07-19,Mobile App,customer support did not respond,neutral,0.0
67,Sneha,Poor quality and waste of money,2025-06-30,Mobile App,poor quality waste money,negative,-0.30000000000000004
68,Divya,Great service and fast delivery,2025-02-12,Mobile App,great service fast delivery,positive,0.5
69,Manoj,Very bad experience and disappointed,2025-11-13,Laptop,very bad experience disappointed,negative,-0.8299999999999998
70,Priya,Delivery was too late,2025-03-18,Smart Watch,delivery too late,negative,-0.3
